Den_ID	Year	Status	Species	Litter_ID	Comments
FOX124	2010	N	Arctic fox	2010_AF09	
FOX125	2010	NR			
FOX126	2010	NR			
FOX127	2010	NR			
FOX128	2010	NR			
FOX131	2010	N	Arctic fox	2010_AF10	
FOX132	2010	NR			
FOX133	2010	N	Arctic fox	2010_AF11	
FOX134	2010	N	Arctic fox	2010_AF12	
FOX135	2010	NR			
FOX137	2010	N	Arctic fox	2010_AF13	
FOX139	2010	NR			
FOX140	2010	R	Arctic fox	2010_AF12	
FOX141	2010	NR			
FOX142	2010	NR			
FOX143	2010	NR			
FOX144	2010	NR			
FOX145	2010	NR			
FOX146	2010	NR			
FOX147	2010	R	Arctic fox	2010_AF03	
FOX148	2010	NR			
FOX149	2010	NR			
FOX150	2010	NR			
